"artefact","file","sequence_index","Ra","Rq","PV","step_height","L2_to_mean"
"spherical","00000.png",0,0.234631593779095,0.275681498919701,1.11505354771508,NA,0.259492960647721
"spherical","00003.png",3,0.234602845665966,0.275688876654331,1.11242903921382,NA,0.260243168549787
"spherical","00006.png",6,0.235411293082796,0.276334726271033,1.10436943323788,NA,0.262186042382954
"spherical","00010.png",10,0.233634881838892,0.274864376069357,1.11192231322056,NA,0.261239648973389
"spherical","00013.png",13,0.233587736429014,0.274559812140026,1.11481769338755,NA,0.260949511390927
"spherical","00016.png",16,0.234559033624571,0.275414111760667,1.10497996167663,NA,0.261417913104469
"spherical","00019.png",19,0.235444086431639,0.276395136533775,1.09035522632839,NA,0.262336792477581
"spherical","00022.png",22,0.234828635969009,0.275865985143257,1.11819734483337,NA,0.261803628960638
"spherical","00026.png",26,0.235189113953678,0.27602730704223,1.11878722742991,NA,0.261705822409714
"spherical","00029.png",29,0.237257749779351,0.278066936402819,1.12801176342029,NA,0.262580412527504
"spherical","00032.png",32,0.237149544170239,0.277924978048159,1.13858280379551,NA,0.262037963804899
"spherical","00035.png",35,0.234275124063644,0.275236042410183,1.13199330199187,NA,0.258724410851021
"spherical","00038.png",38,0.235146724568067,0.276239453054841,1.11577485285724,NA,0.260024042826031
"spherical","00042.png",42,0.235215629086417,0.27622737975257,1.09970945321145,NA,0.261262483174712
"spherical","00045.png",45,0.233758847434131,0.275026771492494,1.10226556109682,NA,0.261436280146702
"spherical","00048.png",48,0.23289838538451,0.273911539389652,1.1201687695116,NA,0.259985178525092
"spherical","00051.png",51,0.234508841035563,0.275559368797787,1.10140660060009,NA,0.261986968442
"spherical","00054.png",54,0.234880334873307,0.275947507219099,1.10527115331452,NA,0.262491312029056
"spherical","00058.png",58,0.236900283514949,0.277690915724935,1.12085450668971,NA,0.26254619990845
"spherical","00061.png",61,0.237822233112,0.278522726000101,1.12384196590421,NA,0.263325292097657
